ingredient,cal,protein,fat,carb,fiber,category,,,,,,,,,,,,,
Jagung gerontol,156,2.7,1.3,33.3,1,vegan,,,,,,,,,,,,,
Jagung titi,374,9.4,2.2,79.1,0.8,vegan,,,,,,,,,,,,,
Japilus,500,1.2,25.1,67.3,0.4,non-vegan,,,,,,,,,,,,,
Kakicak,296,3.4,15.1,36.7,-,non-vegan,,,,,,,,,,,,,
Kambose,164,3,2.4,32.6,4.3,non-vegan,,,,,,,,,,,,,
Kapusa,158,4.4,3.2,27.8,5.3,non-vegan,,,,,,,,,,,,,
Keddo bodong,290,4.6,5.7,55.2,-,non-vegan,,,,,,,,,,,,,
"Kelepon, kue",215,3.7,3.7,41.8,1,vegan,,,,,,,,,,,,,
Kereput,580,4.8,39.6,51.1,-,non-vegan,,,,,,,,,,,,,
Ketoprak,153,7.9,7.7,13,2.9,vegan,,,,,,,,,,,,,
Ketupat kandangan,109,2.2,5.2,13.4,-,vegan,,,,,,,,,,,,,
Koya,366,4.2,4.3,77.5,0.8,non-vegan,,,,,,,,,,,,,
Koya mirasa,370,8,1,82.2,0.4,non-vegan,,,,,,,,,,,,,
Koyabu,241,3.4,4.3,47.2,-,non-vegan,,,,,,,,,,,,,
Kue ali,440,3.8,18.5,64.5,0.3,non-vegan,,,,,,,,,,,,,
Kue bangen,442,3.3,14.7,74.2,-,non-vegan,,,,,,,,,,,,,
Kue gelang,448,5.8,16.1,70,-,non-vegan,,,,,,,,,,,,,
Kue jahe,425,1.6,8.8,84.6,1.2,vegan,,,,,,,,,,,,,
Kue kelapa,591,5.6,42.1,47.5,-,vegan,,,,,,,,,,,,,
Kue koa,340,4.8,0.4,79.3,-,non-vegan,,,,,,,,,,,,,
Kue ku temu,214,3.5,0.2,49.6,-,non-vegan,,,,,,,,,,,,,
Kue lumpur,291,3.6,11.1,44.1,-,vegan,,,,,,,,,,,,,
Kue pelita,141,5.3,5.5,17.6,-,non-vegan,,,,,,,,,,,,,
Kue putu cangkir,304,5.3,7,54.9,0.9,vegan,,,,,,,,,,,,,
Kue sus,221,7.5,10.2,24.8,-,non-vegan,,,,,,,,,,,,,
Kue thipan,247,2.9,4.2,49.5,-,non-vegan,,,,,,,,,,,,,
Laksa/Putu mayang,121,1.7,3.4,21.1,-,non-vegan,,,,,,,,,,,,,
Lapis legit,389,6.6,15.7,55.5,0.5,non-vegan,,,,,,,,,,,,,
Lupis ketan,164,1.8,2.1,34.5,0.7,vegan,,,,,,,,,,,,,
Manan samin,379,3.4,18.1,50.6,-,non-vegan,,,,,,,,,,,,,
Martabak india,153,4.5,4.2,24.3,-,non-vegan,,,,,,,,,,,,,
Martabak mesir,278,5.1,8.6,45,-,non-vegan,,,,,,,,,,,,,
Masekat,369,2.1,7,74.1,4,non-vegan,,,,,,,,,,,,,
Mie aceh rebus,113,3,3.2,18.1,-,non-vegan,,,,,,,,,,,,,
Mie ayam,102,6.2,3.9,10.5,-,non-vegan,,,,,,,,,,,,,
Mie bakso,114,5.3,3,16.4,0.1,non-vegan,,,,,,,,,,,,,
Mie celon,102,3,2.1,17.8,-,non-vegan,,,,,,,,,,,,,
Mie pangsit basah,105,5.9,4.9,9.4,-,non-vegan,,,,,,,,,,,,,
Nasi gemuk,192,3.8,8.8,24.4,0.7,non-vegan,,,,,,,,,,,,,
Nasi gurih,190,4.7,7.5,26,0.7,vegan,,,,,,,,,,,,,
Nasi minyak,207,3.5,5,37.1,0.8,non-vegan,,,,,,,,,,,,,
Nasi rames,155,10.3,4.2,19.1,-,non-vegan,,,,,,,,,,,,,
Nopia spesial,387,5.3,7.6,74.3,0.3,non-vegan,,,,,,,,,,,,,
Onde-onde,336,4,9.8,57.9,-,vegan,,,,,,,,,,,,,
Padamaran,171,3.9,8.9,18.8,-,non-vegan,,,,,,,,,,,,,
Pastel,307,4.5,13.3,42.4,-,non-vegan,,,,,,,,,,,,,
Pulut,216,2.6,3.1,44.4,-,non-vegan,,,,,,,,,,,,,
Pundut nasi,104,1.9,4.1,15.1,0.4,vegan,,,,,,,,,,,,,
Putri hijau,189,5.4,2.1,37.2,-,non-vegan,,,,,,,,,,,,,
Putri selat,163,2.2,6.5,23.8,-,non-vegan,,,,,,,,,,,,,
Putu sopa,215,3.3,4.1,41.1,-,non-vegan,,,,,,,,,,,,,
Renggi goreng,471,4.7,21.8,64.1,6.4,non-vegan,,,,,,,,,,,,,
Roti boong,341,5.5,16.2,43.3,-,non-vegan,,,,,,,,,,,,,
"Roti warna sawo
matang",249,7.9,1.5,49.7,-,non-vegan,,,,,,,,,,,,,
Sarimuka,166,2.3,2.8,32.9,-,non-vegan,,,,,,,,,,,,,
Spaghetti,139,7.4,2.1,22.6,-,non-vegan,,,,,,,,,,,,,
Srikaya ketan,265,2.7,6.4,49.1,-,vegan,,,,,,,,,,,,,
Sunduk lawang,181,1.9,1.3,32.4,-,vegan,,,,,,,,,,,,,
Suwir-suwir,347,0.5,0.9,84.2,0.8,non-vegan,,,,,,,,,,,,,
Tipa-tipa,355,6.2,1.2,79.8,1.3,vegan,,,,,,,,,,,,,
Wajit camilan,303,6.3,2.7,63.3,6.9,vegan,,,,,,,,,,,,,
Widaran,424,1.3,10.7,80.7,0.2,vegan,,,,,,,,,,,,,
Wingko babat,355,3.2,15.1,51.4,2.4,vegan,,,,,,,,,,,,,
Yangko,254,3,1.1,58.1,0.8,vegan,,,,,,,,,,,,,
"Arrowroot, segar",102,1,0.2,24.1,1.7,vegan,,,,,,,,,,,,,
"Batatas gembili, segar",76,1.1,0.9,16,4.2,vegan,,,,,,,,,,,,,
"Batatas kelapa, ubi,
segar",89,1.1,0.1,21,4,vegan,,,,,,,,,,,,,
"Belitung, talas, segar",145,1.2,0.4,34.2,1.5,vegan,,,,,,,,,,,,,
"Bengkuang, segar",59,1.4,0.2,12.8,1,vegan,,,,,,,,,,,,,
"Bentul (Komba), talas,
segar",98,1.6,0.7,20.9,0.7,vegan,,,,,,,,,,,,,
"Gadeng/Gadung,
kering",322,2.4,0.6,76.6,,vegan,,,,,,,,,,,,,
"Gadung, ubi, segar",100,0.9,0.3,23.5,2.1,vegan,,,,,,,,,,,,,
"Ganyong, segar",77,0.6,0.2,18.4,0.8,vegan,,,,,,,,,,,,,
"Gembili, ubi, segar",131,1.1,0.2,31.3,1.1,vegan,,,,,,,,,,,,,
"Hofa/Ubi hutan, segar",127,1.2,0.5,29.5,3.4,vegan,,,,,,,,,,,,,
"Kaburan, ubi, segar",133,1,0.2,32.2,0.7,vegan,,,,,,,,,,,,,
"Kentang, segar",62,2.1,0.2,13.5,0.5,vegan,,,,,,,,,,,,,
"Kentang hitam, segar",142,0.9,0.4,33.7,5.4,vegan,,,,,,,,,,,,,
"Keribang, ubi, segar",137,1.3,1.1,29.8,0.6,vegan,,,,,,,,,,,,,
"Ketela pohon/
singkong, segar",154,1,0.3,36.8,0.9,vegan,,,,,,,,,,,,,
Lepok/Ubi rumput,181,2.8,1.2,39.8,10.7,vegan,,,,,,,,,,,,,
"Sagu aren, kering",355,0.6,1.1,85.6,0.3,vegan,,,,,,,,,,,,,
"Sagu aren, segar",231,0.6,0.2,56.6,3.2,vegan,,,,,,,,,,,,,
Sagu kasbi segar,230,0.6,0.2,56.5,3,vegan,,,,,,,,,,,,,
Sagu lempeng,347,0.9,0.3,85.2,4.7,vegan,,,,,,,,,,,,,
"Sagu singkong, kering",362,0.5,0.3,86.9,,vegan,,,,,,,,,,,,,
"Sente, talas, segar",353,0.7,0.2,84.7,6.6,vegan,,,,,,,,,,,,,
"Suweg, talas, segar",74,1.4,0.1,17.2,1.4,vegan,,,,,,,,,,,,,
"Talas bogor, segar",108,1.4,0.4,25,0.9,vegan,,,,,,,,,,,,,
"Talas pontianak, segar",163,2.3,0.5,36.4,0.7,vegan,,,,,,,,,,,,,
"Talas viqueque, segar",115,1.8,0.5,25.9,8.6,vegan,,,,,,,,,,,,,
"Ubi jalar, kuning, segar",119,0.5,0.4,25.1,4.2,vegan,,,,,,,,,,,,,
"Ubi jalar manis, segar",83,1.5,0.2,18.8,0.6,vegan,,,,,,,,,,,,,
"Ubi jalar merah, segar",151,1.6,0.3,35.4,0.7,vegan,,,,,,,,,,,,,
"Ubi jalar putih, segar",88,0.4,0.4,20.6,4,vegan,,,,,,,,,,,,,
"Ubi jalar tinta/
kemayung",108,0.5,0.4,25.6,4.2,vegan,,,,,,,,,,,,,
"Umbi Uwi, segar",120,2.8,0.5,82.3,2.6,vegan,,,,,,,,,,,,,
"Batatas kelapa, ubi,
bakar",110,1.4,1.1,23.4,4.5,vegan,,,,,,,,,,,,,
"Batatas kelapa, ubi,
kukus",92,1.2,0.3,21,4.1,vegan,,,,,,,,,,,,,
"Batatas tali, ubi, rebus",182,2.4,0.4,42.2,9.2,vegan,,,,,,,,,,,,,
"Belitung, talas, kukus",145,1.2,0.4,34.2,1,vegan,,,,,,,,,,,,,
"Bentul, talas, kukus",71,2.3,0.3,15.4,0.5,vegan,,,,,,,,,,,,,
"Gadung, ubi, kukus",88,0.6,0.3,20.9,0.9,vegan,,,,,,,,,,,,,
"Ganyong, rebus",100,0.8,0.2,23.8,0.9,vegan,,,,,,,,,,,,,
"Ketela pohon/
singkong kukus",153,1.2,0.3,36.4,1.3,vegan,,,,,,,,,,,,,
"Suweg, talas, kukus",93,1.5,0.1,21.9,0.9,vegan,,,,,,,,,,,,,
"Talas bogor, kukus",120,1.5,0.3,28.2,0.7,vegan,,,,,,,,,,,,,
"Ubi jalar, kuning,
kukus",100,0.7,0.3,23.8,1,vegan,,,,,,,,,,,,,
"Ubi jalar tinta/
kemayung kukus",165,0.9,0.2,39.8,1.1,vegan,,,,,,,,,,,,,
Bagea kelapa asin,450,3.2,13.9,78.1,,vegan,,,,,,,,,,,,,
Bagea kelapa manis,452,1.3,13.8,80.6,,vegan,,,,,,,,,,,,,
Bagea kenari asin,529,3.2,29.1,63.6,,vegan,,,,,,,,,,,,,
Bagea kenari manis,523,3.2,28.2,64.2,,vegan,,,,,,,,,,,,,
Bagea kw 1,416,6.5,9.4,76.3,0.4,vegan,,,,,,,,,,,,,
Bagea kw 2,382,0.3,3.5,87.2,0.9,vegan,,,,,,,,,,,,,
Beras Cerdas,350,2.7,1.1,82.3,6.2,vegan,,,,,,,,,,,,,
Beras ganyong,364,3.4,0.7,86.3,4.7,vegan,,,,,,,,,,,,,
Beras Siger,344,1.1,0.2,28.3,5.6,vegan,,,,,,,,,,,,,
Biji nangka/Biji salak,262,2.3,5.4,51.1,8,vegan,,,,,,,,,,,,,
Bubur sagu,167,0.2,4,33,,vegan,,,,,,,,,,,,,
Cassavastick,460,0.8,18.7,17.2,1.6,vegan,,,,,,,,,,,,,
"Ceriping getuk
singkong",462,1.2,20.7,67.7,0.6,vegan,,,,,,,,,,,,,
Gatot,347,1.3,0.7,83.8,5.8,vegan,,,,,,,,,,,,,
Geblek,195,0.4,1.7,44.4,3.6,vegan,,,,,,,,,,,,,
Getuk goreng,360,1.3,6.4,74.3,0.8,vegan,,,,,,,,,,,,,
Getuk singkong,204,0.5,1.4,47.4,0.8,vegan,,,,,,,,,,,,,
Gurandil,218,0.5,2.5,48.5,3.1,vegan,,,,,,,,,,,,,
Kabuto,250,2.6,2.5,35.4,1.8,vegan,,,,,,,,,,,,,
Kapurung,41,2,0.3,7.8,2,vegan,,,,,,,,,,,,,
"Kecimpring singkong
goreng",464,1.2,18.6,73,1.3,vegan,,,,,,,,,,,,,
Keremes,475,1.6,25.2,64.4,2.1,vegan,,,,,,,,,,,,,
Keripik gadung,446,2.8,14.5,76,1.7,vegan,,,,,,,,,,,,,
Keripik kentang,448,2.7,18.8,67.1,3.8,vegan,,,,,,,,,,,,,
Keripik singkong,478,0.9,20.7,72,2,vegan,,,,,,,,,,,,,
"Keripik singkong
berbumbu",481,2.2,19.7,73.6,1.6,vegan,,,,,,,,,,,,,
Keripik ubi,486,0.2,23.9,67.6,14.3,vegan,,,,,,,,,,,,,
Kerupuk cumi goreng,444,6.9,14.6,71.3,5,non-vegan,,,,,,,,,,,,,
"Kerupuk kemplang
(ikan) mentah",325,1.8,0.4,78.5,4.5,non-vegan,,,,,,,,,,,,,
"Kerupuk kemplang
goreng",504,5.6,28.1,57.1,0.3,non-vegan,,,,,,,,,,,,,
"Kerupuk kemplang
panggang",356,9.7,1.1,76.9,1,non-vegan,,,,,,,,,,,,,
"Kerupuk mie kuning
goreng",476,0.1,21.1,71.3,4.2,non-vegan,,,,,,,,,,,,,
Kerupuk udang goreng,477,4.7,20.5,68.5,5,non-vegan,,,,,,,,,,,,,
Kue bangket,338,1.5,1.2,80.3,,non-vegan,,,,,,,,,,,,,
Kue putu singkong,217,1.2,0.5,53.2,2.4,vegan,,,,,,,,,,,,,
Lanting getuk,422,0.9,10.8,80.4,1.4,vegan,,,,,,,,,,,,,
Mi golosor,71,0.2,0.8,15.9,0.1,non-vegan,,,,,,,,,,,,,
Mie Bendo,353,0.3,0,88,2.4,non-vegan,,,,,,,,,,,,,
Mie Sagu,190,0.2,0.4,46.5,1.4,vegan,,,,,,,,,,,,,
Ongol-ongol sagu,111,0.3,2.7,21.2,0.3,vegan,,,,,,,,,,,,,
Oyek,351,0.9,0.9,84.9,4.3,non-vegan,,,,,,,,,,,,,
Papeda,61,0.2,0.1,14.9,0.5,vegan,,,,,,,,,,,,,
Rasbi (Beras Ubi),394,2.2,8.8,76.6,6.8,vegan,,,,,,,,,,,,,
Rasi (Beras Singkong),350,0.9,0.4,85.7,14.4,vegan,,,,,,,,,,,,,
Sagu forno,291,0.5,4,63.4,,vegan,,,,,,,,,,,,,
Sagu Lemak (Kue Sagon),452,2.8,14.8,76.8,1.1,vegan,,,,,,,,,,,,,
Sagu manis,287,0.5,3.9,62.4,,vegan,,,,,,,,,,,,,
Sagu Rendang,364,0.1,0.2,90.5,1.9,non-vegan,,,,,,,,,,,,,
Sagu sinole,354,0.8,8.3,68.9,,vegan,,,,,,,,,,,,,
"Serimping talas
kebumen",478,2.5,21.2,69.2,1.7,vegan,,,,,,,,,,,,,
Tapai singkong,169,1.4,0.3,40.2,2,vegan,,,,,,,,,,,,,
Tepung Arrowroot,355,0.7,0.2,85.2,0.4,vegan,,,,,,,,,,,,,
Tepung Ganyong,353,0.8,1.7,83.6,0.7,vegan,,,,,,,,,,,,,
Tepung Gaplek,345,2.4,0.4,83.1,6.7,vegan,,,,,,,,,,,,,
"Tepung kentang,
kering",347,0.3,0.1,85.6,0.4,vegan,,,,,,,,,,,,,
Tepung Mocaf,350,1.2,0.6,85,6,vegan,,,,,,,,,,,,,
Tepung Sente,326,4,0.4,76.7,8.5,vegan,,,,,,,,,,,,,
"Tepung singkong/
Tapioka",363,1.1,0.5,88.2,0.9,vegan,,,,,,,,,,,,,
Tepung Tales Beneng,332,5.7,0.6,76.1,12.2,vegan,,,,,,,,,,,,,
Tepung Ubi Ungu,354,2.8,0.6,84.4,12.9,vegan,,,,,,,,,,,,,
Tiwul,353,2.4,1.1,83.4,6.5,vegan,,,,,,,,,,,,,
Tiwul Instan,395,3.2,8.5,76.5,4.2,vegan,,,,,,,,,,,,,
Ubi Cilembu,186,1.9,0.2,44.3,3.4,vegan,,,,,,,,,,,,,
Uli batatas,150,1.1,4,27.4,,vegan,,,,,,,,,,,,,
"Kacang arab, kering",330,23.8,1.4,60.2,17.4,vegan,,,,,,,,,,,,,
"Kacang babi, kering",341,30.4,3.2,51.3,4.5,vegan,,,,,,,,,,,,,
"Kacang belimbing
(kecipir), kering",400,34.4,16.9,34.1,10.7,vegan,,,,,,,,,,,,,
"Kacang beracun, segar",118,4.4,1.5,21.6,,vegan,,,,,,,,,,,,,
"Kacang bogor, kering",370,16,6,65,26.3,vegan,,,,,,,,,,,,,
"Kacang bogor, segar",165,7.7,3.1,27.4,2.5,vegan,,,,,,,,,,,,,
"Kacang endel, biji, kering",331,25,1,58,23.6,vegan,,,,,,,,,,,,,
"Kacang ercis, segar",129,12.4,0.7,18.3,28.6,vegan,,,,,,,,,,,,,
"kacang galing, segar",336,23.1,1.7,59.5,,vegan,,,,,,,,,,,,,
"Kacang gude, biji, kering",316,20.7,1,58,4.6,vegan,,,,,,,,,,,,,
"Kacang gude, biji,
segar",114,7,0.6,20.8,4.4,vegan,,,,,,,,,,,,,
"Kacang hijau var, bakti, kering",350,17.1,1.8,70.7,5.7,vegan,,,,,,,,,,,,,
"Kacang hijau var,
siwalik, kering",339,20.8,2.1,64.6,7.4,vegan,,,,,,,,,,,,,
"Kacang hijau, kering",323,22.9,1.5,56.8,7.5,vegan,,,,,,,,,,,,,
"Kacang hitam, kering",346,16.6,1.7,66.1,22.8,vegan,,,,,,,,,,,,,
"Kacang kapri, segar",98,6.7,0.4,17.7,6.2,vegan,,,,,,,,,,,,,
"Kacang kedelai, kering",381,40.4,16.7,24.9,3.2,vegan,,,,,,,,,,,,,
"Kacang kedelai, segar",286,30.2,15.6,30.1,2.9,vegan,,,,,,,,,,,,,
"Kacang kincai, kering",444,19.9,16,55,,vegan,,,,,,,,,,,,,
"Kacang komak, segar",327,16.4,4.3,55.8,0.5,vegan,,,,,,,,,,,,,
"Kacang kuning, kering",355,17,2.5,66,15.1,vegan,,,,,,,,,,,,,
"Kacang lebui /iris,
kering",346,16.5,1.5,66.6,37.3,vegan,,,,,,,,,,,,,
"Kacang mentega,
kering",344,16.7,2.1,64.6,13,vegan,,,,,,,,,,,,,
"Kacang merah /banda,
kering",350,13.9,3,66.9,26.3,vegan,,,,,,,,,,,,,
"Kacang merah tua,
kering",280,16.7,1.6,63.2,4.6,vegan,,,,,,,,,,,,,
"Kacang merah, kering",314,22.1,1.1,56.2,4,vegan,,,,,,,,,,,,,
"Kacang merah, segar",171,11,2.2,28,2.1,vegan,,,,,,,,,,,,,
"Kacang mete/biji
jambu monyet, segar",616,16.3,48.4,28.7,0.9,vegan,,,,,,,,,,,,,
"Kacang panjang, biji,
kering",357,17.3,1.5,68.6,10.6,vegan,,,,,,,,,,,,,
Kacang tanah sangan,560,29.5,43,24.1,2.9,vegan,,,,,,,,,,,,,
Kacang tanah sangan tanpa selaput,559,26.9,44.2,23.6,2.6,vegan,,,,,,,,,,,,,
"Kacang tanah, kering",525,27.9,42.7,17.4,2.4,vegan,,,,,,,,,,,,,
"Kacang tolo / tunggak,
kering",331,24.4,1.9,56.6,1.6,vegan,,,,,,,,,,,,,
"Kacang tunis, kering",351,12.2,1.2,72.9,29.5,vegan,,,,,,,,,,,,,
"Kacang uci, kering",358,23.4,2.4,60.6,7.4,vegan,,,,,,,,,,,,,
"Kacang urei, kering",354,12.8,1.8,69.3,26.1,vegan,,,,,,,,,,,,,
"Kenari banda, kering",616,13.9,56.2,13.7,,vegan,,,,,,,,,,,,,
"Kenari, kering",657,15,66,13,,vegan,,,,,,,,,,,,,
"Komak polong, segar",99,3.3,0.1,21.2,10.3,vegan,,,,,,,,,,,,,
"Koro andong, kering",356,20.5,4.1,61.6,7,vegan,,,,,,,,,,,,,
"Koro benguk, biji, kering",332,24,3,55,5.6,vegan,,,,,,,,,,,,,
"Koro kerupuk, biji, segar",125,8.3,0.7,22.1,2.2,vegan,,,,,,,,,,,,,
"Koro loke, biji, segar",33,2.7,0.2,7.9,3.5,vegan,,,,,,,,,,,,,
"Koro roay, kering",344,12.5,2.1,69.4,7.5,vegan,,,,,,,,,,,,,
"Koro wedus, biji,
kering",338,22.2,1.5,61,5.8,vegan,,,,,,,,,,,,,
"Lamtoro biji, muda,
segar",85,5.7,0.3,15.4,10.8,vegan,,,,,,,,,,,,,
"Lamtoro biji, tua,
segar",148,10.6,0.5,26.2,17,vegan,,,,,,,,,,,,,
"Lamtoro var, gung
tanpa kulit",367,46.4,5.4,32.5,2.6,vegan,,,,,,,,,,,,,
"Lamtoro var, lokal
dengan kulit",336,23.8,1.2,59.7,15.4,vegan,,,,,,,,,,,,,
"Nangka, biji, segar",165,4.2,0.1,36.7,1.8,vegan,,,,,,,,,,,,,
"Saga merah terkupas, mentah",449,30.6,25.5,31.9,3.5,vegan,,,,,,,,,,,,,
"Wijen, mentah",568,19.3,51.1,18.1,3.6,vegan,,,,,,,,,,,,,
"Kacang belimbing, rebus",204,16.9,8.8,17.5,4.8,vegan,,,,,,,,,,,,,
"Kacang bogor, goreng",479,12.7,23.2,58.9,1.2,vegan,,,,,,,,,,,,,
"Kacang bogor, rebus",161,7.7,2.8,27.1,2,vegan,,,,,,,,,,,,,
"Kacang gude, rebus",147,9,0.5,27.5,3.4,vegan,,,,,,,,,,,,,
"kacang hijau, rebus",109,8.7,0.5,18.3,1.5,vegan,,,,,,,,,,,,,
"Kacang kedelai, goreng",521,32.2,37.7,22.9,7.6,vegan,,,,,,,,,,,,,
"Kacang kedelai, rebus",189,20.2,8.2,12.7,1.6,vegan,,,,,,,,,,,,,
"Kacang merah kering,
rebus",158,10.3,0.9,28.2,2.6,vegan,,,,,,,,,,,,,
"Kacang merah segar,
rebus",144,10,1,24.7,3.5,vegan,,,,,,,,,,,,,
"Kacang mete/biji
jambu monyet, goreng",629,20.4,56.3,19.8,1.1,vegan,,,,,,,,,,,,,
"Kacang tanah rebus dg
kulit",360,13.5,31.2,12.8,,vegan,,,,,,,,,,,,,
"Kacang tanah, goreng",564,25.5,44.4,25.5,2.8,vegan,,,,,,,,,,,,,
"Kacang tanah, rebus",220,10.6,18,8,1,vegan,,,,,,,,,,,,,
